SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant
10,1,Lily got the kettle,Sensible,down,None,0,None,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Owen swallowed the gum,Sensible,down,down,1,1.889044046,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Kate served the dish,Sensible,down,down,1,1.892545938,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I broke the water,Sklar_violation,down,down,1,4.492033958,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Phil cancelled the party,Sensible,up,up,1,3.394275188,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The crate lifted Amy,Non-sensible,up,up,1,2.069382906,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I cooked the stairs,Sklar_violation,up,up,1,1.575601101,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The photo took Beth,Non-sensible,up,up,1,1.693109989,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I dug the paint,Sklar_violation,up,up,1,2.406312943,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Joe entered the office,Sensible,down,down,1,3.574828148,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The rope pulled Andy,Non-sensible,up,up,1,2.469763041,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I solved the peas,Sklar_violation,up,up,1,1.998876095,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Phil chopped the herbs,Sensible,up,up,1,1.387380123,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,John described the pen,Sensible,down,down,1,1.20991993,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I burnt the clouds,Sklar_violation,down,down,1,1.763793945,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I tasted the vinegar,Sklar_control_A,up,up,1,1.394728899,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The plate licked Jane,Non-sensible,down,down,1,1.316626072,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The room tidied Sam,Non-sensible,up,up,1,1.677468061,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I shampooed the hair,Sklar_control_B,up,up,1,4.398167133,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Liz labeled the jar,Sensible,down,down,1,1.90474391,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Eve typed the message,Sensible,down,down,1,2.587046862,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I smelled the smoke,Sklar_control_A,up,up,1,3.67998004,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I cut the wine,Sklar_violation,down,down,1,1.763592005,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The kettle got Lily,Non-sensible,down,down,1,1.763743877,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The lemon squeezed Jay,Non-sensible,up,up,1,2.571079969,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Tim cleaned the floor,Sensible,up,up,1,2.281200886,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Liz sliced the tomato,Sensible,down,down,1,7.197434902,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I locked the cabinet,Sklar_control_B,down,down,1,2.06951189,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The hair trimmed Bill,Non-sensible,up,down,0,2.923975945,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Tom dialed the number,Sensible,up,down,0,2.728000164,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The parcel mailed Rob,Non-sensible,up,up,1,5.228999853,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
