,Unnamed: 0,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID
139,139,Sklar_Hebrew_negative,80,1,-2.25,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,סוף העולם,Hebrew,1.8047168254900003,1,
140,140,New,50,1,-1.136363636,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The child scared the dog,Neutral sentence,1.27076792717,1,26
141,141,Sklar_Hebrew_negative,80,1,-2.05,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,שיער פנים,Hebrew,0.875325202942,1,
142,142,Sklar_Hebrew_neutral,80,1,0.35,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,שרפרף מעץ,Hebrew,2.85834598541,1,
143,143,New,50,1,-4.195121951,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,Mum hit the baby,Negative sentence,1.6822719574,1,14
144,144,Sklar_Hebrew_neutral,80,1,-0.1,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,מוט הילוכים,Hebrew,1.53409600258,1,
145,145,New,50,1,-3.222222222,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The officer crushed the car,Neutral sentence,1.0351707935299999,1,9
146,146,New,50,1,-1.090909091,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,cow pat,Negative phrase,0.840285778046,1,1036
147,147,New,50,1,-3.911111111,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The actor shot the photographer,Negative sentence,2.4282131195099996,1,19
148,148,New,50,1,-4.302325581,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,kidnap,Negative phrase,1.6633880138400001,1,1040
149,149,New,50,1,-1.219512195,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The man ate the snake,Neutral sentence,4.99527406693,1,29
150,150,Sklar,50,1,0.681818182,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,hand rail,Neutral phrase,2.41138005257,1,1007
151,151,New,50,1,-4.658536585,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The boar ate Bobby,Negative sentence,1.27063012123,1,3
