,Unnamed: 0,Unnamed: 0.1,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,string_length
122,122,122,New,50,1,0.071428571,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,The pig was a male,Neutral sentence,0.941286802292,1,18.0,18
123,123,123,Sklar_Hebrew_neutral,80,1,0.3,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיבת דואר,Hebrew,0.709609031677,1,,9
124,124,124,Sklar_Hebrew_neutral,50,1,0.35,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,מנחת מסוקים,Hebrew,0.922398090363,1,,11
125,125,125,Sklar,50,1,-0.666666667,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,speed bumps,Neutral phrase,1.00499510765,1,1015.0,11
126,126,126,Sklar_Hebrew_neutral,50,1,0.65,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מעבר חצייה,Hebrew,1.3527309894600001,1,,10
127,127,127,Sklar_Hebrew_neutral,80,1,0.85,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיק גב,Hebrew,0.828214883804,1,,6
128,128,128,New,50,1,-2.545454545,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,dentist drill,Negative phrase,1.48229193687,1,1046.0,13
129,129,129,Sklar,50,1,-4.658536585,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,human trafficking,Negative phrase,0.8990151882170001,1,1050.0,17
130,130,130,New,50,1,2.022727273,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The policeman tackled the criminal,Neutral sentence,2.23479199409,1,28.0,34
131,131,131,New,50,1,3.545454545,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The fireman killed the fire,Neutral sentence,1.69872498512,1,4.0,27
